n, d, k, max_iter, epsilon, n_iter, msse, total_timeinit name, runner name
1000000, 128, 1000, 5, 0, 8,67864.7, 6.97485, Lazy, YY
iter#,asg time, update time, setup_time, msse, dist calcs, center reasg, mean center move, min center move, max center move
0, 0, 0, 0.019679, 45, 0, 0, 0, 0, 0
1, 0, 0, 3.44762, 48, 0, 0, 0, 0, 0
2, 0, 0, 0.519642, 49, 0, 0, 0, 0, 0
3, 0.000176, 0.203523, 0, 83958, 0, 0, 95.6781, 26.9902, 162.694
4, 0.934004, 0.117541, 0.004315, 72164, 703460589, 36, 43.19, 11.8602, 89.1555
5, 0.581174, 0.041579, 0.00203, 69456, 424606253, 151, 25.2724, 5.44172, 55.9754
6, 0.580687, 0.030801, 0.002229, 68409.7, 427442304, 251, 17.7094, 4.20863, 50.55
7, 0.44545, 0.019876, 0.001822, 67864.7, 325814144, 8, 13.5964, 3.08772, 34.3828
