n, d, k, max_iter, epsilon, n_iter, msse, total_timeinit name, runner name
1000000, 128, 2000, 5, 0, 8,63718.7, 13.4072, Lazy, YY
iter#,asg time, update time, setup_time, msse, dist calcs, center reasg, mean center move, min center move, max center move
0, 0, 0, 0.030017, 45, 0, 0, 0, 0, 0
1, 0, 0, 7.21226, 48, 0, 0, 0, 0, 0
2, 0, 0, 0.622222, 49, 0, 0, 0, 0, 0
3, 0.000226, 0.239677, 0, 80161.9, 0, 0, 96.4244, 24.5122, 172.256
4, 1.83987, 0.154601, 0.004282, 68024.5, 1309322841, 62, 43.1431, 10.0481, 95.1258
5, 1.16463, 0.062314, 0.002054, 65298.7, 816897796, 138, 25.423, 5.02783, 62.9858
6, 1.08436, 0.03889, 0.001897, 64263.1, 763827605, 251, 18.0329, 3.15615, 54.9019
7, 0.89241, 0.029682, 0.002046, 63718.7, 630052067, 3, 14.015, 1.70224, 43.9529
