n, d, k, max_iter, epsilon, n_iter, msse, total_timeinit name, runner name
1000000, 128, 5000, 5, 0, 8,58532.7, 31.2093, Lazy, YY
iter#,asg time, update time, setup_time, msse, dist calcs, center reasg, mean center move, min center move, max center move
0, 0, 0, 0.040594, 45, 0, 0, 0, 0, 0
1, 0, 0, 17.8626, 48, 0, 0, 0, 0, 0
2, 0, 0, 0.843972, 49, 0, 0, 0, 0, 0
3, 0.001134, 0.398247, 0, 74130.5, 0, 0, 95.5468, 0, 292.377
4, 3.95277, 0.341514, 0.004493, 62804.7, 2677259029, 63, 44.326, 6.49649, 305.613
5, 2.98802, 0.124089, 0.003579, 60124.7, 2021799895, 249, 26.4884, 0, 157.656
6, 2.45246, 0.07831, 0.001984, 59085.1, 1656365846, 197, 18.9115, 0, 109.331
7, 2.02888, 0.05726, 0.002031, 58532.7, 1366650851, 239, 14.8145, 0, 75.7312
