k,Forgy,Lazy,lsh,MacQueen,Forgy,Lazy,lsh,MacQueen
1000,0.57369,0.019627,0.307764,2.94237,140058.0,279984.0,107962.0,105282.0
2000,0.85601,0.013683,0.297569,7.17971,139919.0,282574.0,102665.0,95932.8
3125,1.25001,0.021788,0.319326,11.2801,139761.0,283144.0,102719.0,90410.7
4000,1.47107,0.022153,0.307158,14.8129,139638.0,283056.0,100822.0,87926.1
5000,1.72669,0.015231,0.302274,18.2912,139502.0,282626.0,101372.0,85817.8
